Query name,Predicted enzyme class,Predicted substrate specificity
3HBCL_THAAR_Thauera_aromatica_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
4CL1_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL2_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL2_TOBAC_Nicotiana_tabacum_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL3_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CL4_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CLL1_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
4CLL5_ARATH_Arabidopsis_thaliana_unknown.other_other_OTHER,ARYL,cinnamate and succinylbenzoate derivatives
4CLL7_ARATH_Arabidopsis_thaliana_C6.through.C11_mediumchain_MACS,ARYL,C6 through C11
4CLL9_ARATH_Arabidopsis_thaliana_unknown.other_other_OTHER,ARYL,cinnamate and succinylbenzoate derivatives
4CLLA_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,ARYL,C2 through C5
4HBCL_RHOPA_Rhodopseudomonas_palustris_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
A0A077KT11_9ACTN_Streptomyces_sp._C2.through.C5_shortchain_NRPS,NRPS,C2 through C5
A0A0A6YYM0_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A0B4J1R2_HUMAN_Homo_sapiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A0B4KFE4_DROME_Drosophila_melanogaster_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A0G2JSN9_RAT_Rattus_norvegicus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A0A0G2K047_RAT_Rattus_norvegicus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A0G2K125_RAT_Rattus_norvegicus_C6.through.C11_mediumchain_MACS,LACS,C6 through C11
A0A0G2K7J0_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,VLACSBILE,C12 through C17
A0A0G2K8G2_RAT_Rattus_norvegicus_C6.through.C11_mediumchain_MACS,LACS,C6 through C11
A0A0H2UKF2_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A0H2VDD9_ECOL6_Escherichia_coli_C6.through.C11_mediumchain_FAAL,FAAL,C6 through C11
A0A0R4IRL6_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A140DJY3_9ACTN_Streptomyces_gandocaensis_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
A0A140LHR8_MOUSE_Mus_musculus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A0A1I9LR43_ARATH_Arabidopsis_thaliana_cinnamate.and.succinylbenzoate.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
A0A1P8BCV2_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A286Y8C0_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A286ZJB9_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A286ZYB0_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_LACS,VLACSBILE,C18 and up or bile acid
A0A287A844_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287A933_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287ADR8_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287AIP7_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287AJW1_PIG_Sus_scrofa_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A0A287ALQ2_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287APD5_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287AQR2_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A287AQX2_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287AT39_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A287AV54_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287AYW7_PIG_Sus_scrofa_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A0A287B4R8_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A287B6U1_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287B7Q9_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A287BA23_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A287BA72_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287BDD8_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287BEZ5_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A287BFF2_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287BJX8_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C12 through C17
A0A287BK93_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C18 and up or bile acid
A0A287BLC7_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A287BMB3_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A287BMY7_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
A0A2R8Q6G5_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0A2R8QE30_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A0A2R8QSI5_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A0R618_MYCS2_Mycobacterium_smegmatis_C12.through.C17_longchain_FAAL,FAAL,C12 through C17
A1Z7H2_DROME_Drosophila_melanogaster_C12.through.C17_longchain_LACS,LACS,C12 through C17
A1Z7H3_DROME_Drosophila_melanogaster_C12.through.C17_longchain_LACS,LACS,C12 through C17
A2ANX6_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
A2AQN4_MOUSE_Mus_musculus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A2AQN5_MOUSE_Mus_musculus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A5WV16_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
A6L0Y5_BACV8_Bacteroides_vulgatus_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
A7MBE6_BOVIN_Bos_taurus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
A7YWF1_BOVIN_Bos_taurus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
A8LRC0_DINSH_Dinoroseobacter_shibae_C2.through.C5_shortchain_SACS,SACS,C2 through C5
AACS_HUMAN_Homo_sapiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
AACS_MOUSE_Mus_musculus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
AACS_RAT_Rattus_norvegicus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
AAE11_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,SACS,cinnamate and succinylbenzoate derivatives
AAE13_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,SACS,C12 through C17
AAE15_ARATH_Arabidopsis_thaliana_C12.through.C17_longchain_FAAL,ARYL,C12 through C17
AAE20_ARATH_Arabidopsis_thaliana_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,cinnamate and succinylbenzoate derivatives
ACBG1_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,VLACSBILE,C12 through C17
ACBG1_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,VLACSBILE,C12 through C17
ACBG2_HUMAN_Homo_sapiens_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACBG2_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_LACS,LACS,C18 and up or bile acid
ACS_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACS1_YEAST_Saccharomyces_cerevisiae_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACS2_YEAST_Saccharomyces_cerevisiae_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACS2A_HUMAN_Homo_sapiens_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACS2B_HUMAN_Homo_sapiens_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACS2L_HUMAN_Homo_sapiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACS2L_MOUSE_Mus_musculus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_BACSU_Bacillus_subtilis_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_BRADU_Bradyrhizobium_diazoefficiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_ECOLI_Escherichia_coli_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_HUMAN_Homo_sapiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_METSH_Methanothrix_soehngenii_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_METTP_Methanothrix_thermoacetophila_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_MOUSE_Mus_musculus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_MYCTU_Mycobacterium_tuberculosis_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_SALTY_Salmonella_typhimurium_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSA_SCHPO_Schizosaccharomyces_pombe_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSF3_HUMAN_Homo_sapiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSF4_HUMAN_Homo_sapiens_amino.acid_aminoacid_NRPS,NRPS,bulky mainly phenyl derivatives aa
ACSF4_MOUSE_Mus_musculus_amino.acid_aminoacid_NRPS,NRPS,bulky mainly phenyl derivatives aa
ACSL1_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL1_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL3_HUMAN_Homo_sapiens_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL3_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL3_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL4_HUMAN_Homo_sapiens_C18.and.up.or.bile.acid_verylongchainbile_LACS,LACS,C18 and up or bile acid
ACSL4_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_LACS,LACS,C18 and up or bile acid
ACSL4_RAT_Rattus_norvegicus_C18.and.up.or.bile.acid_verylongchainbile_LACS,LACS,C18 and up or bile acid
ACSL5_HUMAN_Homo_sapiens_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL5_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL5_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL6_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
ACSL6_RAT_Rattus_norvegicus_C18.and.up.or.bile.acid_verylongchainbile_LACS,LACS,C12 through C17
ACSM1_BOVIN_Bos_taurus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACSM1_HUMAN_Homo_sapiens_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACSM1_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C6 through C11
ACSM2_MOUSE_Mus_musculus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACSM3_HUMAN_Homo_sapiens_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACSM3_MOUSE_Mus_musculus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACSM5_HUMAN_Homo_sapiens_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACSM5_MOUSE_Mus_musculus_C6.through.C11_mediumchain_MACS,MACS,C6 through C11
ACSS3_HUMAN_Homo_sapiens_C2.through.C5_shortchain_SACS,SACS,C2 through C5
ACSS3_MOUSE_Mus_musculus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
AEE7_ARATH_Arabidopsis_thaliana_C2.through.C5_shortchain_SACS,SACS,C2 through C5
B0S5C4_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
B4E7B5_BURCJ_Burkholderia_cenocepacia_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
B4EL89_BURCJ_Burkholderia_cenocepacia_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
B5RIV0_DROME_Drosophila_melanogaster_C12.through.C17_longchain_LACS,LACS,C12 through C17
B7Z3Z9_HUMAN_Homo_sapiens_C12.through.C17_longchain_LACS,LACS,C12 through C17
B8JK22_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
BAIB_CLOSV_Clostridium_scindens_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
BCLA_THAAR_Thauera_aromatica_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
CAIC_ECOLI_Escherichia_coli_amino.acid_aminoacid_NRPS,ARYL,polar and charged aa
CAR_MYCMM_Mycobacterium_marinum_aryl.and.biaryl.derivatives_aryl_CAR,LACS,C12 through C17
CAR_NOCIO_Nocardia_iowensis_cinnamate.and.succinylbenzoate.derivatives_aryl_CAR,ARYL,C12 through C17
CBACL_PSEUC_Pseudomonas_sp._aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
CBCL1_ARTSP_Arthrobacter_sp._aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
CMAA_PSESG_Pseudomonas_savastanoi_amino.acid_aminoacid_NRPS,NRPS,small hydrophobic aa
D3Z041_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
D3ZGU2_RAT_Rattus_norvegicus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
D3ZSL9_RAT_Rattus_norvegicus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
D3ZUP3_RAT_Rattus_norvegicus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
D6EQU8_STRLI_Streptomyces_lividans_C2.through.C5_shortchain_SACS,SACS,C2 through C5
D6RER0_HUMAN_Homo_sapiens_C12.through.C17_longchain_LACS,ARYL,C12 through C17
DDAD_ENTAG_Enterobacter_agglomerans_C2.through.C5_shortchain_NRPS,NRPS,C2 through C5
DLTA_BACCR_Bacillus_cereus_amino.acid_aminoacid_NRPS,NRPS,small hydrophilic aa
DLTA_BACSU_Bacillus_subtilis_amino.acid_aminoacid_NRPS,NRPS,small hydrophilic aa
DLTA_LACRH_Lactobacillus_rhamnosus_amino.acid_aminoacid_NRPS,NRPS,small hydrophilic aa
DLTA_STAAN_Staphylococcus_aureus_amino.acid_aminoacid_NRPS,NRPS,small hydrophilic aa
DLTA_STRP6_Streptococcus_pyogenes_amino.acid_aminoacid_NRPS,NRPS,small hydrophilic aa
DMDB_RUEPO_Ruegeria_pomeroyi_C2.through.C5_shortchain_OTHER,ARYL,cinnamate and succinylbenzoate derivatives
E1JHE4_DROME_Drosophila_melanogaster_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
E7EPM6_HUMAN_Homo_sapiens_C12.through.C17_longchain_LACS,LACS,C12 through C17
E7ERD7_HUMAN_Homo_sapiens_C12.through.C17_longchain_LACS,LACS,C12 through C17
E7F351_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
E9PUC2_MOUSE_Mus_musculus_C12.through.C17_longchain_LACS,LACS,C12 through C17
E9PUI6_MOUSE_Mus_musculus_amino.acid_aminoacid_NRPS,NRPS,bulky mainly phenyl derivatives aa
E9PUJ1_MOUSE_Mus_musculus_amino.acid_aminoacid_NRPS,ARYL,C2 through C5
E9PXV4_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
E9Q9W4_MOUSE_Mus_musculus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
ECDI_ASPRU_Aspergillus_rugulosus_C18.and.up.or.bile.acid_verylongchainbile_FAAL,FAAL,C18 and up or bile acid
F1LPB3_RAT_Rattus_norvegicus_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1M1W1_RAT_Rattus_norvegicus_C6.through.C11_mediumchain_MACS,LACS,C6 through C11
F1MQX0_BOVIN_Bos_taurus_C2.through.C5_shortchain_SACS,SACS,C2 through C5
F1MX08_BOVIN_Bos_taurus_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
F1QAA7_DANRE_Danio_rerio_C2.through.C5_shortchain_SACS,SACS,C2 through C5
F1QBA8_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
F1QDA6_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1QEZ5_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
F1QLZ8_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
F1QQC5_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
F1R452_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1RAK0_DANRE_Danio_rerio_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1RCV2_DANRE_Danio_rerio_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
F1RJV7_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1RKU0_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C12 through C17
F1RKU1_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C12 through C17
F1RSZ3_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1RT96_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1RYM4_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
F1S4Y0_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
F1S5J8_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
F1SAS2_PIG_Sus_scrofa_C2.through.C5_shortchain_SACS,SACS,C2 through C5
F1SFW5_PIG_Sus_scrofa_C18.and.up.or.bile.acid_verylongchainbile_VLACSBILE,VLACSBILE,C18 and up or bile acid
F1SR72_PIG_Sus_scrofa_C12.through.C17_longchain_LACS,LACS,C12 through C17
F3Y661_STIAU_Stigmatella_aurantiaca_aryl.and.biaryl.derivatives_aryl_ARYL,ARYL,aryl and biaryl derivatives
