,Random Forest,,
,Precision,Recall,Balanced.Accuracy
Class: C6.through.C11,0.83,0.56,0.78
Class: C2.through.C5,0.83,0.62,0.81
Class: C12.through.C17,0.55,0.76,0.86
Class: C18.and.up.or.bile.acid,1,0.72,0.86
Class: cyclic.aliphatic.aa,0.9,0.82,0.91
Class: small.hydrophilic.aa,0.95,0.84,0.92
Class: cinnamate.and.succinylbenzoate.derivatives,0.72,0.88,0.93
Class: aryl.and.biaryl.derivatives,0.8,0.91,0.95
Class: bulky.mainly.phenyl.derivatives.aa,0.86,0.94,0.95
Class: polar.and.charged.aa,0.96,0.9,0.95
Class: small.hydrophobic.aa,0.9,0.93,0.96
Class: cysteine.aa,1,0.94,0.97
Class: luciferin,1,0.94,0.97
Class: median.beta.hydroxyacid,1,1,1
Class: tiny.aa,0.95,1,1