ids,CLSZ_0.41,CLID_0.41
8-hydroxyoctanoate,28,4
12-methyltridecanoate,28,4
1-heptadecene,28,4
decanoate,28,4
myristate,28,4
dimethylsulfoniopropionate,28,4
dimethylsulfoniopropionate3,28,4
palmitate,28,4
octanoate,28,4
hexanoate,28,4
13-methyltetradecanoate,28,4
laurate,28,4
19-(4-hydroxyphenyl)nonadecanoate,28,4
linoleate,28,4
4-hydroxybutyrate,28,4
arachidonate,28,4
oleate,28,4
nonanoate,28,4
3-(methylsulfanyl)propanoate,28,4
b-alanine,28,4
butyrate,28,4
3-hydroxypropanoate,28,4
docosanoate,28,4
pentadecanoate,28,4
eicosapentaenoate,28,4
valerate,28,4
tetracosanoate,28,4
methyldecanoate,28,4
"2,3-dihydroxybenzoate",26,3
salicylate,26,3
4-hydroxybenzoate,26,3
6-methylsalicylate,26,3
phenylacetate,26,3
4-coumarate,26,3
benzoate,26,3
anthranilate,26,3
3-hydroxybenzoate,26,3
p-nitrobenzoate,26,3
3-hydroxyanthranilate,26,3
2-oxo-3-phenylpropanoate,26,3
2-succinylbenzoate,26,3
p-hydroxyphenylacetate,26,3
"3,4-dihydroxybenzoate",26,3
4-hydroxyphenylpyruvate,26,3
quinoxaline-2-carboxylate,26,3
cinnamate,26,3
4-chlorobenzoate,26,3
caffeate,26,3
ferulate,26,3
vanillate,26,3
sinapate,26,3
4-bromobenzoate,26,3
4-iodobenzoate,26,3
4-methylbenzoate,26,3
malonate,6,15
malonamate,6,15
d-alanine,6,15
acetoacetate,6,15
isobutyrate,6,15
methylmalonate,6,15
threonine,3,59
L-allo-isoleucine,3,59
3-hydroxybutyrate,3,59
cyclohexanecarboxylate,2,6
L-proline,2,6
D-aspartate,2,13
L-aspartate,2,13
1-acetyl-3-carboxy-beta-carboline,2,22
xanthurenate,2,22
oxalate,2,65
oxalate3,2,65
acetate,1,1
5-aminolevulinate,1,2
4-guanidinobutanoate,1,10
mupirocin,1,12
2-ketoisovalerate,1,18
4-acetamidopyrrole-2-carboxylate,1,32
acrylate,1,35
trichloroleucine,1,37
2-hydroxy-7-methoxy-5-methyl-1-naphthoate,1,49
luciferin,1,52
"3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate",1,55
(R)-carnitine,1,56
(S)-2-amino-6-oxohexanoate,1,61
3-oxocholest-4-en-26-oate,1,69
propionate,1,74