x,y,likely_substrate,substrate_group
0.077432191,-0.290823057,D-aspartate,amino_acid
0.077432191,-0.290823057,L-aspartate,amino_acid
0.1816759,-0.26514851,dimethylsulfoniopropionate,other
-0.053121989,-0.172715315,oxalate,short_chain
0.044569748,-0.220159774,acetate,short_chain
0.144440412,-0.202644944,5-aminolevulinate,amino_acid
-0.399648343,0.055363921,"2,3-dihydroxybenzoate",aryl
0.345226632,0.075057905,8-hydroxyoctanoate,long_chain
-0.426453646,0.066217546,salicylate,aryl
0.248189287,-0.100178442,cyclohexanecarboxylate,aryl
-0.441036823,0.112292027,4-hydroxybenzoate,aryl
-0.338405549,0.01730162,6-methylsalicylate,aryl
0.385431381,0.285515419,12-methyltridecanoate,medium_chain
0.171798462,-0.144308478,4-guanidinobutanoate,other
-0.266881228,0.0186471,phenylacetate,aryl
0.159041405,0.164074042,mupirocin,long_chain
0.300914222,0.351400627,1-heptadecene,long_chain
0.040825677,-0.298819478,malonate,short_chain
-0.339891366,0.112130715,4-coumarate,aryl
-0.41036397,0.093584362,benzoate,aryl
-0.005388339,-0.215692891,2-ketoisovalerate,short_chain
-0.381781524,0.052672228,anthranilate,aryl
-0.448674756,0.087763392,3-hydroxybenzoate,aryl
0.3998671,0.180379827,decanoate,medium_chain
-0.2242131,0.079277554,1-acetyl-3-carboxy-beta-carboline,aryl
0.414478629,0.359209638,myristate,long_chain
-0.35589293,0.100141287,p-nitrobenzoate,aryl
-0.384644831,0.040587449,3-hydroxyanthranilate,aryl
-0.258059343,0.035118106,2-oxo-3-phenylpropanoate,aryl
0.398273517,0.388365685,palmitate,long_chain
-0.218367826,0.091462429,2-succinylbenzoate,aryl
0.35525247,0.021535195,octanoate,medium_chain
-0.242249834,0.025205196,4-acetamidopyrrole-2-carboxylate,aryl
-0.323692469,0.060362864,p-hydroxyphenylacetate,aryl
-0.411615888,0.086194924,"3,4-dihydroxybenzoate",aryl
7.66E-04,-0.160006861,acrylate,short_chain
0.288105649,-0.177348418,hexanoate,medium_chain
0.089229068,-0.103542392,trichloroleucine,amino_acid
-0.350459207,0.096700518,xanthurenate,aryl
-0.306566926,0.076632674,4-hydroxyphenylpyruvate,aryl
-0.340145189,0.110838784,quinoxaline-2-carboxylate,aryl
0.386748967,0.317378326,13-methyltetradecanoate,long_chain
-0.318225901,0.097262843,cinnamate,aryl
0.416737152,0.292974016,laurate,long_chain
0.19182774,0.321417984,19-(4-hydroxyphenyl)nonadecanoate,long_chain
0.293834497,0.338407462,linoleate,long_chain
-0.396605194,0.103388294,4-chlorobenzoate,aryl
-0.397811404,0.122848744,caffeate,aryl
0.210231317,-0.282077298,4-hydroxybutyrate,short_chain
-0.286640475,0.079666817,2-hydroxy-7-methoxy-5-methyl-1-naphthoate,aryl
0.173392183,0.240467524,arachidonate,long_chain
0.351560004,0.380367917,oleate,long_chain
-0.122878358,0.055589713,luciferin,luciferin
0.383531694,0.108014444,nonanoate,medium_chain
0.054122866,-0.294951014,malonamate,short_chain
0.194965974,0.05099884,"3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate",other
0.121292763,-0.147305413,(R)-carnitine,amino_acid
0.187226971,-0.297288063,3-(methylsulfanyl)propanoate,other
0.061606003,-0.263341795,d-alanine,amino_acid
0.050733831,-0.263245328,threonine,amino_acid
0.169924482,-0.347640328,b-alanine,amino_acid
0.171045614,-0.150446361,(S)-2-amino-6-oxohexanoate,medium_chain
0.176907494,-0.197987304,L-proline,amino_acid
0.118218279,-0.226633262,L-allo-isoleucine,amino_acid
0.06582663,-0.308450226,acetoacetate,short_chain
0.194385838,-0.360324611,butyrate,short_chain
0.164486265,-0.365203072,3-hydroxypropanoate,short_chain
0.192760414,0.185347206,3-oxocholest-4-en-26-oate,long_chain
0.318743083,0.354615134,docosanoate,long_chain
0.060220948,-0.245655565,isobutyrate,short_chain
0.006928683,-0.245461138,methylmalonate,short_chain
0.117161428,-0.318806665,propionate,short_chain
0.407088168,0.376713836,pentadecanoate,long_chain
-0.340547401,0.109395715,ferulate,aryl
-0.362843919,0.07980226,vanillate,aryl
0.130430903,0.192240142,eicosapentaenoate,long_chain
0.260571142,-0.293481983,valerate,medium_chain
0.292258007,0.327985147,tetracosanoate,long_chain
0.343967814,0.209332855,methyldecanoate,medium_chain
-0.27010436,0.085193334,sinapate,aryl
-0.396605194,0.103388294,4-bromobenzoate,aryl
-0.396605194,0.103388294,4-iodobenzoate,aryl
-0.401339332,0.097187663,4-methylbenzoate,aryl
0.097520584,-0.289030969,3-hydroxybutyrate,short_chain