V1,bgc,accs,product,organism
BGC0001830|c1|4354-5472|-|AKG06372.1|aminotransferase_DesV|AKG06372.1,BGC0001830,AKG06372.1,"rosamicin, salinipyrone A, pacificanone A",Salinispora pacifica
BGC0001831|c1|2452-4230|-|MXAN_6636|AMP-binding_protein|ABF92798.1,BGC0001831,MXAN_6636,"alkylpyrone-407, alkylpyrone-393",Myxococcus xanthus DK 1622
BGC0001838|c1|16253-27655|+|AFJ23826.1|WLIP_synthetase_C|AFJ23826.1,BGC0001838,AFJ23826.1,WLIP,Pseudomonas putida
BGC0001838|c1|3354-16256|+|AFJ23825.1|WLIP_synthetase_B|AFJ23825.1,BGC0001838,AFJ23825.1,WLIP,Pseudomonas putida
BGC0001848|c1|52031-53602|+|MicB006_2938|long-chain_acyl-CoA_synthetase|AXO35219.1,BGC0001848,MicB006_2938,"diazaquinomycin H, diazaquinomycin J",Micromonospora sp. B006
BGC0001848|c1|9355-10671|-|MicB006_2901|phenylacetate-coenzyme_A_ligase|AXO35182.1,BGC0001848,MicB006_2901,"diazaquinomycin H, diazaquinomycin J",Micromonospora sp. B006
BGC0001850|c1|20204-21775|-|StrepF001_25970|acyl-CoA_synthetase|RZB16713.1,BGC0001850,StrepF001_25970,"diazaquinomycin A, diazaquinomycin E, diazaquinomycin F, diazaquinomycin G",Streptomyces sp. F001
BGC0001856|c1|155569-158616|-|QBF51786.1|Nrps|QBF51786.1,BGC0001856,QBF51786.1,"caniferolide A, caniferolide B, caniferolide C, caniferolide D",Streptomyces caniferus
BGC0001856|c1|175848-176930|-|QBF51795.1|putative_arylcarboxylate_reductase|QBF51795.1,BGC0001856,QBF51795.1,"caniferolide A, caniferolide B, caniferolide C, caniferolide D",Streptomyces caniferus
BGC0001856|c1|183926-185251|-|QBF51802.1|ATP-dependent_acyl-CoA_synthetase|QBF51802.1,BGC0001856,QBF51802.1,"caniferolide A, caniferolide B, caniferolide C, caniferolide D",Streptomyces caniferus
BGC0001857|c1|15342-27878|+|QBE85649.1|BuaA|QBE85649.1,BGC0001857,QBE85649.1,burnettramic acid A,Aspergillus sp. CLMG-2019a
BGC0001872|c1|2107-2856|-|XBJ1_2946|hypothetical_protein|CBJ82070.1,BGC0001872,XBJ1_2946,fabclavine-polyamine,Xenorhabdus bovienii SS-2004
BGC0001877|c1|15427-19242|-|FS847_01805|amino_acid_adenylation_domain-containing_protein|TXD00259.1,BGC0001877,FS847_01805,cyphomycin,Streptomyces sp. ISID311
BGC0001877|c1|41507-48664|-|FS847_01910|AMP-binding_protein|TXD00261.1,BGC0001877,FS847_01910,cyphomycin,Streptomyces sp. ISID311
BGC0001881|c1|30235-42858|+|QCS37521.1|pyiS|QCS37521.1,BGC0001881,QCS37521.1,pyrichalasin H,Pyricularia grisea
"BGC0001884|c1|16731-19034|+|DAB41914.1|ArzL_-_PKS_(FAAL,_ACP)|DAB41914.1",BGC0001884,DAB41914.1,"aranazole A, aranazole B, aranazole C, aranazole D",Fischerella sp. PCC 9339
BGC0001885|c1|31485-35111|+|DAC76731.1|methionyl-tRNA_formyltransferase|DAC76731.1,BGC0001885,DAC76731.1,oxazolepoxidomycin A,Streptomyces sp. NRRL F-4335
BGC0001890|c1|2-1612|+|VIBHAR_01379|hypothetical_protein|ABU70356.1,BGC0001890,VIBHAR_01379,"amphi-enterobactin 1, amphi-enterobactin 2, amphi-enterobactin 3, amphi-enterobactin 4",Vibrio campbellii ATCC BAA-1116
BGC0001890|c1|20109-21728|+|VIBHAR_01399|hypothetical_protein|ABU70375.1,BGC0001890,VIBHAR_01399,"amphi-enterobactin 1, amphi-enterobactin 2, amphi-enterobactin 3, amphi-enterobactin 4",Vibrio campbellii ATCC BAA-1116
BGC0001890|c1|22711-26664|+|VIBHAR_01401|hypothetical_protein|ABU70377.1,BGC0001890,VIBHAR_01401,"amphi-enterobactin 1, amphi-enterobactin 2, amphi-enterobactin 3, amphi-enterobactin 4",Vibrio campbellii ATCC BAA-1116
BGC0001895|c1|13125-14789|-|C4J65_11165|hypothetical_protein|AXL88825.1,BGC0001895,C4J65_11165,"huanglongmycin A, huanglongmycin B, huanglongmycin C",Streptomyces sp. CB09001
BGC0001897|c1|10179-11975|+|BamIOP4010DRAFT_0384|AMP-dependent_synthetase_and_ligase|EDT06082.1,BGC0001897,BamIOP4010DRAFT_0384,cepacin A,Burkholderia ambifaria IOP40-10
BGC0001898|c1|40542-42125|+|ACO31297.1|PtmA3|ACO31297.1,BGC0001898,ACO31297.1,"thioplatensimycin, thioplatencin",Streptomyces platensis
BGC0001898|c1|6030-7334|+|ACO31267.1|PtmA1|ACO31267.1,BGC0001898,ACO31267.1,"thioplatensimycin, thioplatencin",Streptomyces platensis
BGC0001898|c1|9647-11215|-|ACO31271.1|PtmA2|ACO31271.1,BGC0001898,ACO31271.1,"thioplatensimycin, thioplatencin",Streptomyces platensis
BGC0001900|c1|2102-5668|+|I35_4194|Peptide_synthetase|CDN62030.1,BGC0001900,I35_4194,fragin,Burkholderia cenocepacia H111
BGC0001908|c1|13778-15304|+|ANH11404.1|SceI|ANH11404.1,BGC0001908,ANH11404.1,sceliphrolactam,Streptomyces sp. SD85
BGC0001908|c1|15359-16897|+|ANH11405.1|SceJ|ANH11405.1,BGC0001908,ANH11405.1,sceliphrolactam,Streptomyces sp. SD85
BGC0001918|c1|22723-24201|-|BBD17745.1|AMP-ligase|BBD17745.1,BGC0001918,BBD17745.1,JBIR-06,Streptomyces sp.
BGC0001919|c1|30513-32000|-|BBD17766.1|AMP-ligase|BBD17766.1,BGC0001919,BBD17766.1,neoantimycin,Streptomyces orinoci
BGC0001922|c1|20146-21678|-|BBE36469.1|amino_acid_adenylation_domain-containing_protein|BBE36469.1,BGC0001922,BBE36469.1,isoindolinomycin,Streptomyces sp. SoC090715LN-16
BGC0001925|c1|12317-13996|-|BBG06561.1|AMP_binding_enzyme|BBG06561.1,BGC0001925,BBG06561.1,"altemicidin, SB-203207, SB-203208",Streptomyces sp.
BGC0001925|c1|3122-4720|+|BBG06551.1|AMP_binding_enzyme|BBG06551.1,BGC0001925,BBG06551.1,"altemicidin, SB-203207, SB-203208",Streptomyces sp.
BGC0001932|c1|153007-154413|+|AWC08666.1|putative_4-guanidinylbutanoate:CoA_ligase|AWC08666.1,BGC0001932,AWC08666.1,mediomiycin A,Kitasatospora mediocidica
BGC0001934|c1|29232-31031|+|AWS21283.1|acyl-CoA_synthetase|AWS21283.1,BGC0001934,AWS21283.1,armeniaspirols,Streptomyces armeniacus
BGC0001934|c1|8489-9970|+|AWS21276.1|amino_acid_adenyltransferase|AWS21276.1,BGC0001934,AWS21276.1,armeniaspirols,Streptomyces armeniacus
BGC0001939|c1|5067-6173|-|AWH12909.1|StmG|AWH12909.1,BGC0001939,AWH12909.1,streptoseomycin,Streptomyces seoulensis
BGC0001940|c1|11410-13497|-|AXM42922.1|AMP-dependent_synthetase_and_ligase/heterocyclase|AXM42922.1,BGC0001940,AXM42922.1,"pyxidicycline A, pyxidicycline B",Pyxidicoccus fallax
BGC0001944|c1|162093-163535|+|AXI91565.1|FunS2|AXI91565.1,BGC0001944,AXI91565.1,funisamine,Streptosporangium sp.
BGC0001945|c1|35884-37722|-|AXM43064.1|AMP-dependent_synthetase_and_ligase|AXM43064.1,BGC0001945,AXM43064.1,chloromyxamide,Myxococcus sp.
BGC0001950|c1|2075-10687|-|AXN93575.1|PuwA|AXN93575.1,BGC0001950,AXN93575.1,"puwainaphycin F, minutissamide A",Cylindrospermum moravicum CCALA 993
BGC0001950|c1|24856-26628|+|AXN93578.1|PuwC|AXN93578.1,BGC0001950,AXN93578.1,"puwainaphycin F, minutissamide A",Cylindrospermum moravicum CCALA 993
BGC0001950|c1|27423-36788|+|AXN93580.1|PuwE|AXN93580.1,BGC0001950,AXN93580.1,"puwainaphycin F, minutissamide A",Cylindrospermum moravicum CCALA 993
BGC0001950|c1|36785-54340|+|AXN93581.1|PuwF-G|AXN93581.1,BGC0001950,AXN93581.1,"puwainaphycin F, minutissamide A",Cylindrospermum moravicum CCALA 993
BGC0001950|c1|54511-57756|+|AXN93582.1|PuwH|AXN93582.1,BGC0001950,AXN93582.1,"puwainaphycin F, minutissamide A",Cylindrospermum moravicum CCALA 993
BGC0001951|c1|2075-10687|-|AXN93584.1|PuwA|AXN93584.1,BGC0001951,AXN93584.1,"puwainaphycin F, minutissamide A",Cylindrospermum alatosporum CCALA 994
BGC0001951|c1|25984-27756|+|AXN93587.1|PuwC|AXN93587.1,BGC0001951,AXN93587.1,"puwainaphycin F, minutissamide A",Cylindrospermum alatosporum CCALA 994
BGC0001951|c1|28551-37916|+|AXN93589.1|PuwE|AXN93589.1,BGC0001951,AXN93589.1,"puwainaphycin F, minutissamide A",Cylindrospermum alatosporum CCALA 994
BGC0001951|c1|37913-55468|+|AXN93590.1|PuwF-G|AXN93590.1,BGC0001951,AXN93590.1,"puwainaphycin F, minutissamide A",Cylindrospermum alatosporum CCALA 994
BGC0001951|c1|55576-58884|+|AXN93591.1|PuwH|AXN93591.1,BGC0001951,AXN93591.1,"puwainaphycin F, minutissamide A",Cylindrospermum alatosporum CCALA 994
BGC0001952|c1|1-8565|-|AXN93592.1|PuwA|AXN93592.1,BGC0001952,AXN93592.1,"minutissamide A, minutissamide C, minutissamide D",Anabaena minutissima UTEX B 1613
BGC0001952|c1|15059-17167|+|AXN93595.1|PuwI|AXN93595.1,BGC0001952,AXN93595.1,"minutissamide A, minutissamide C, minutissamide D",Anabaena minutissima UTEX B 1613
BGC0001952|c1|26115-27884|+|AXN93598.1|PuwC|AXN93598.1,BGC0001952,AXN93598.1,"minutissamide A, minutissamide C, minutissamide D",Anabaena minutissima UTEX B 1613
BGC0001952|c1|29696-39034|+|AXN93601.1|PuwE|AXN93601.1,BGC0001952,AXN93601.1,"minutissamide A, minutissamide C, minutissamide D",Anabaena minutissima UTEX B 1613
BGC0001952|c1|39031-56646|+|AXN93602.1|PuwF-G|AXN93602.1,BGC0001952,AXN93602.1,"minutissamide A, minutissamide C, minutissamide D",Anabaena minutissima UTEX B 1613
BGC0001952|c1|56696-60061|+|AXN93603.1|PuwH|AXN93603.1,BGC0001952,AXN93603.1,"minutissamide A, minutissamide C, minutissamide D",Anabaena minutissima UTEX B 1613
BGC0001953|c1|1-8565|-|AXN93605.1|PuwA|AXN93605.1,BGC0001953,AXN93605.1,"puwainaphycin F, minutissamide A, minutissamide B, minutissamide C, minutissamide D",Anabaena sp. UHCC-0399
BGC0001953|c1|14989-17133|+|AXN93608.1|PuwI|AXN93608.1,BGC0001953,AXN93608.1,"puwainaphycin F, minutissamide A, minutissamide B, minutissamide C, minutissamide D",Anabaena sp. UHCC-0399
BGC0001953|c1|26420-27898|+|AXN93611.1|PuwC|AXN93611.1,BGC0001953,AXN93611.1,"puwainaphycin F, minutissamide A, minutissamide B, minutissamide C, minutissamide D",Anabaena sp. UHCC-0399
BGC0001953|c1|28358-37657|+|AXN93613.1|PuwE|AXN93613.1,BGC0001953,AXN93613.1,"puwainaphycin F, minutissamide A, minutissamide B, minutissamide C, minutissamide D",Anabaena sp. UHCC-0399
BGC0001953|c1|37654-46308|+|AXN93614.1|PuwF|AXN93614.1,BGC0001953,AXN93614.1,"puwainaphycin F, minutissamide A, minutissamide B, minutissamide C, minutissamide D",Anabaena sp. UHCC-0399
BGC0001953|c1|46346-55273|+|AXN93615.1|PuwG|AXN93615.1,BGC0001953,AXN93615.1,"puwainaphycin F, minutissamide A, minutissamide B, minutissamide C, minutissamide D",Anabaena sp. UHCC-0399
BGC0001953|c1|55344-58709|+|AXN93616.1|PuwH|AXN93616.1,BGC0001953,AXN93616.1,"puwainaphycin F, minutissamide A, minutissamide B, minutissamide C, minutissamide D",Anabaena sp. UHCC-0399
BGC0001955|c1|15766-17499|-|AYA22318.1|KerE|AYA22318.1,BGC0001955,AYA22318.1,"keratinimicin A, keratinimicin B, keratinimicin C, keratinimicin D",Amycolatopsis keratiniphila
BGC0001955|c1|33955-39549|-|AYA22333.1|KerD|AYA22333.1,BGC0001955,AYA22333.1,"keratinimicin A, keratinimicin B, keratinimicin C, keratinimicin D",Amycolatopsis keratiniphila
BGC0001955|c1|39698-51877|-|AYA22334.1|KerC|AYA22334.1,BGC0001955,AYA22334.1,"keratinimicin A, keratinimicin B, keratinimicin C, keratinimicin D",Amycolatopsis keratiniphila
BGC0001955|c1|52184-55351|-|AYA22335.1|KerB|AYA22335.1,BGC0001955,AYA22335.1,"keratinimicin A, keratinimicin B, keratinimicin C, keratinimicin D",Amycolatopsis keratiniphila
BGC0001955|c1|55348-61596|-|AYA22336.1|KerA|AYA22336.1,BGC0001955,AYA22336.1,"keratinimicin A, keratinimicin B, keratinimicin C, keratinimicin D",Amycolatopsis keratiniphila
BGC0001956|c1|9144-11582|+|QCX41915.1|Mhr9|QCX41915.1,BGC0001956,QCX41915.1,"miharamycin A, miharamycin B",Streptomyces miharaensis
BGC0001957|c1|13163-15529|+|QCX41944.1|Amc7|QCX41944.1,BGC0001957,QCX41944.1,amipurimycin,Streptomyces novoguineensis
BGC0001957|c1|31123-32505|+|QCX41962.1|AmcH|QCX41962.1,BGC0001957,QCX41962.1,amipurimycin,Streptomyces novoguineensis
BGC0001958|c1|13163-15529|+|QCX41944.1|Amc7|QCX41944.1,BGC0001958,QCX41944.1,amipurimycin,Streptomyces novoguineensis
BGC0001958|c1|31123-32505|+|QCX41962.1|AmcH|QCX41962.1,BGC0001958,QCX41962.1,amipurimycin,Streptomyces novoguineensis
BGC0001961|c1|19846-23115|-|QCE20608.1|AsmM|QCE20608.1,BGC0001961,QCE20608.1,ashimides,Streptomyces sp.
BGC0001961|c1|23112-27107|-|QCE20609.1|AsmN|QCE20609.1,BGC0001961,QCE20609.1,ashimides,Streptomyces sp.
BGC0001961|c1|30278-31663|+|QCE20613.1|AsmR|QCE20613.1,BGC0001961,QCE20613.1,ashimides,Streptomyces sp.
BGC0001961|c1|31660-34080|+|QCE20614.1|AsmS|QCE20614.1,BGC0001961,QCE20614.1,ashimides,Streptomyces sp.
BGC0001961|c1|5192-8422|-|QCE20598.1|AsmC|QCE20598.1,BGC0001961,QCE20598.1,ashimides,Streptomyces sp.
BGC0001963|c1|144815-147976|-|AZF85944.1|hypothetical_protein|AZF85944.1,BGC0001963,AZF85944.1,catenulisporolides,Catenulispora sp.
BGC0001963|c1|149396-151183|-|AZF85942.1|long-chain-fatty-acid-CoA_ligase|AZF85942.1,BGC0001963,AZF85942.1,catenulisporolides,Catenulispora sp.
BGC0001963|c1|151378-152460|+|AZF85913.1|arylcarboxylate_reductase|AZF85913.1,BGC0001963,AZF85913.1,catenulisporolides,Catenulispora sp.
BGC0001963|c1|23765-24883|+|AZF85900.1|arylcarboxylate_reductase|AZF85900.1,BGC0001963,AZF85900.1,catenulisporolides,Catenulispora sp.
BGC0001963|c1|47263-49080|-|AZF85930.1|AMP-binding_protein|AZF85930.1,BGC0001963,AZF85930.1,catenulisporolides,Catenulispora sp.
BGC0001963|c1|53824-55380|-|AZF85933.1|long-chain-fatty-acid-CoA_ligase|AZF85933.1,BGC0001963,AZF85933.1,catenulisporolides,Catenulispora sp.
BGC0001964|c1|21923-23677|+|AYM52861.1|AMP-binding_protein|AYM52861.1,BGC0001964,AYM52861.1,"alkylpyrone-407, alkylpyrone-393",Cystobacterineae bacterium
BGC0001965|c1|19275-20927|+|AYV61416.1|long-chain_acyl-CoA_synthetase|AYV61416.1,BGC0001965,AYV61416.1,nybomycin,Streptomyces albus subsp. chlorinus
BGC0001966|c1|9161-11198|-|QCC62990.1|AMP_dependent_ligase|QCC62990.1,BGC0001966,QCC62990.1,BII-rafflesfungin,Phoma sp.
BGC0001968|c1|7390-9141|+|QBC75017.1|acyl-CoA_synthase|QBC75017.1,BGC0001968,QBC75017.1,"cadaside A, cadaside B",uncultured bacterium
BGC0001970|c1|26868-31631|+|AZH23792.1|MgcJ|AZH23792.1,BGC0001970,AZH23792.1,malyngamide C acetate,Okeania hirsuta
BGC0001971|c1|26878-31638|+|AZH23822.1|MgiJ|AZH23822.1,BGC0001971,AZH23822.1,malyngamide I,Okeania hirsuta
BGC0001975|c1|20025-31823|-|QBG38782.1|Atr21|QBG38782.1,BGC0001975,QBG38782.1,atratumycin,Streptomyces atratus
BGC0001975|c1|31820-42898|-|QBG38783.1|Atr22|QBG38783.1,BGC0001975,QBG38783.1,atratumycin,Streptomyces atratus
BGC0001975|c1|42898-57465|-|QBG38784.1|Atr23|QBG38784.1,BGC0001975,QBG38784.1,atratumycin,Streptomyces atratus
BGC0001978|c1|15342-27878|+|QBE85649.1|BuaA|QBE85649.1,BGC0001978,QBE85649.1,burnettramic acid,Aspergillus sp. CLMG-2019a
BGC0001979|c1|55252-57024|+|QDQ37906.1|ATP-dependent_CoA_synthase|QDQ37906.1,BGC0001979,QDQ37906.1,LL-D49194Î±1 (LLD),Streptomyces vinaceusdrappus
BGC0001982|c1|30235-42858|+|QCS37521.1|PyiS|QCS37521.1,BGC0001982,QCS37521.1,pyrichalasin H,Pyricularia grisea
BGC0001983|c1|19384-21051|+|QCT05750.1|Tri17|QCT05750.1,BGC0001983,QCT05750.1,triacsins,Kitasatospora aureofaciens
BGC0001983|c1|3360-4928|-|QCT05736.1|Tri3|QCT05736.1,BGC0001983,QCT05736.1,triacsins,Kitasatospora aureofaciens
BGC0001983|c1|36569-38110|+|QCT05762.1|Tri29|QCT05762.1,BGC0001983,QCT05762.1,triacsins,Kitasatospora aureofaciens
BGC0001984|c1|20001-21782|-|QED55419.1|fatty-acyl_AMP_ligase|QED55419.1,BGC0001984,QED55419.1,"sarpeptin A, sarpeptin B",Streptomyces sp.
BGC0001991|c1|19407-21200|+|MEXAM1_RS25425|fatty_acyl-AMP_ligase|WP_003598544.1,BGC0001991,MEXAM1_RS25425,"toblerol A, toblerol B, toblerol C, toblerol D, toblerol E, toblerol F, toblerol G, toblerol H",Methylorubrum extorquens AM1
BGC0001993|c1|1197-7305|+|PPE_RS11475|aminotransferase_class_III-fold_pyridoxal_phosphate-dependent_enzyme|PPE_RS11475,BGC0001993,PPE_RS11475,paenilipoheptin,Paenibacillus polymyxa E681
BGC0001999|c1|32344-35937|-|BGRAMDRAFT_RS22650|AMP-binding_protein|WP_006051172.1,BGC0001999,BGRAMDRAFT_RS22650,gramibactin,Paraburkholderia graminis C4D1M
BGC0002001|c1|13069-17136|-|Achr_RS19570|amino_acid_adenylation_domain-containing_protein|WP_144411596.1,BGC0002001,Achr_RS19570,crochelin A,Azotobacter chroococcum NCIMB 8003
BGC0002002|c1|3002-4771|-|WN53_RS03350|amino_acid_adenylation_domain-containing_protein|WP_024483797.1,BGC0002002,WN53_RS03350,"1,6-phenazinedimethanol, fontizine A",Serratia fonticola
BGC0002002|c1|7127-8188|-|WN53_RS03365|AMP-binding_protein|WP_021179638.1,BGC0002002,WN53_RS03365,"1,6-phenazinedimethanol, fontizine A",Serratia fonticola
BGC0002008|c1|4224-5636|+|XDD1_RS16015|acyl-CoA_synthetase|WP_045972716.1,BGC0002008,XDD1_RS16015,aryl polyenes,Xenorhabdus doucetiae
BGC0002010|c1|15630-16739|-|D581_RS0125520|phenazine_antibiotic_biosynthesis_protein|WP_032753057.1,BGC0002010,D581_RS0125520,"streptophenazine B, streptophenazine C, streptophenazine F, streptophenazine G, streptophenazine H",Streptomyces sp. CNB091
BGC0002010|c1|18682-20319|-|D581_RS01000000137735|amino_acid_adenylation_domain-containing_protein|WP_063738219.1,BGC0002010,D581_RS01000000137735,"streptophenazine B, streptophenazine C, streptophenazine F, streptophenazine G, streptophenazine H",Streptomyces sp. CNB091
BGC0002010|c1|3450-5252|-|D581_RS0125480|fatty_acyl-AMP_ligase|WP_018960015.1,BGC0002010,D581_RS0125480,"streptophenazine B, streptophenazine C, streptophenazine F, streptophenazine G, streptophenazine H",Streptomyces sp. CNB091
BGC0002019|c1|10342-11841|+|DAC74137.1|AMP-dependent_synthetase|DAC74137.1,BGC0002019,DAC74137.1,tiancilactone,Streptomyces sp. CB03234
BGC0002020|c1|202-1587|-|plu2408||CAE14766.1,BGC0002020,plu2408,photolose,Photorhabdus laumondii subsp. laumondii TTO1
BGC0002022|c1|12187-13668|+|AZY92000.1|proline_adenylation_protein|AZY92000.1,BGC0002022,AZY92000.1,"armeniaspirol A, armeniaspirol B, armeniaspirol C",Streptomyces armeniacus
BGC0002022|c1|32930-34729|+|AZY91992.1|putative_fatty_acyl-AMP_ligase|AZY91992.1,BGC0002022,AZY91992.1,"armeniaspirol A, armeniaspirol B, armeniaspirol C",Streptomyces armeniacus
BGC0002022|c1|56757-58355|-|AZY91996.1|hypothetical_protein|AZY91996.1,BGC0002022,AZY91996.1,"armeniaspirol A, armeniaspirol B, armeniaspirol C",Streptomyces armeniacus
BGC0002023|c1|18110-19405|+|BMY97_RS07495|acyl--CoA_ligase|WP_091614382.1,BGC0002023,BMY97_RS07495,saalfelduracin,Amycolatopsis saalfeldensis
BGC0002024|c1|61388-62950|-|AXG22420.1|proline_adenyltransferase|AXG22420.1,BGC0002024,AXG22420.1,nargenicin,Nocardia argentinensis
BGC0002029|c1|13115-14443|-|AVI10276.1|bagremycin_synthetase|AVI10276.1,BGC0002029,AVI10276.1,"bagremycin A, bagremycin B, bagremycin C, bagremycin E, bagremycin F, bagremycin G, ferroverdin A, ferroverdin B, ferroverdin C",Streptomyces lunaelactis
BGC0002035|c1|3426-15590|-|gene3||gene3,BGC0002035,gene3,ilicicolin H,Neonectria sp. DH2
